Service,Discovery URL
meet,https://meet.googleapis.com/$discovery/rest?version=v2
memcache,https://memcache.googleapis.com/$discovery/rest?version=v1beta2
memcache,https://memcache.googleapis.com/$discovery/rest?version=v1
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=accounts_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=conversions_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=datasources_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=inventories_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=lfp_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=notifications_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=products_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=promotions_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=quota_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=reports_v1beta
merchantapi,https://merchantapi.googleapis.com/$discovery/rest?version=reviews_v1beta
metastore,https://metastore.googleapis.com/$discovery/rest?version=v1alpha
metastore,https://metastore.googleapis.com/$discovery/rest?version=v1beta
metastore,https://metastore.googleapis.com/$discovery/rest?version=v1
migrationcenter,https://migrationcenter.googleapis.com/$discovery/rest?version=v1alpha1
migrationcenter,https://migrationcenter.googleapis.com/$discovery/rest?version=v1
ml,https://ml.googleapis.com/$discovery/rest?version=v1
monitoring,https://monitoring.googleapis.com/$discovery/rest?version=v1
monitoring,https://monitoring.googleapis.com/$discovery/rest?version=v3
mybusinessaccountmanagement,https://mybusinessaccountmanagement.googleapis.com/$discovery/rest?version=v1
mybusinessbusinessinformation,https://mybusinessbusinessinformation.googleapis.com/$discovery/rest?version=v1
mybusinesslodging,https://mybusinesslodging.googleapis.com/$discovery/rest?version=v1
mybusinessnotifications,https://mybusinessnotifications.googleapis.com/$discovery/rest?version=v1
mybusinessplaceactions,https://mybusinessplaceactions.googleapis.com/$discovery/rest?version=v1
mybusinessqanda,https://mybusinessqanda.googleapis.com/$discovery/rest?version=v1
mybusinessverifications,https://mybusinessverifications.googleapis.com/$discovery/rest?version=v1
netapp,https://netapp.googleapis.com/$discovery/rest?version=v1beta1
netapp,https://netapp.googleapis.com/$discovery/rest?version=v1
networkconnectivity,https://networkconnectivity.googleapis.com/$discovery/rest?version=v1alpha1
networkconnectivity,https://networkconnectivity.googleapis.com/$discovery/rest?version=v1
